Target_Time_h,Actual_Time_h,Drug,Concentration_uM,Replicate,Column,O2_Percent
24,24.0,VINC,4.5,6,VINC_4.5_6,11.9
24,24.0,VINC,13.5,2,VINC_13.5_2,22.2
24,24.0,VINC,13.5,3,VINC_13.5_3,32.9
24,24.0,VINC,13.5,4,VINC_13.5_4,19.0
24,24.0,VINC,13.5,5,VINC_13.5_5,23.3
24,24.0,VINC,13.5,6,VINC_13.5_6,34.1
24,24.0,VINC,13.5,7,VINC_13.5_7,32.8
24,24.0,DMSO,0.011111111,1,DMSO_0.011111111_1,55.0
24,24.0,DMSO,0.011111111,2,DMSO_0.011111111_2,17.1
24,24.0,DMSO,0.011111111,3,DMSO_0.011111111_3,8.3
24,24.0,DMSO,0.033333333,1,DMSO_0.033333333_1,7.0
24,24.0,DMSO,0.033333333,2,DMSO_0.033333333_2,16.5
24,24.0,DMSO,0.033333333,3,DMSO_0.033333333_3,9.5
24,24.0,DMSO,0.1,1,DMSO_0.1_1,7.6
24,24.0,DMSO,0.1,2,DMSO_0.1_2,5.5
24,24.0,DMSO,0.1,3,DMSO_0.1_3,6.9
24,24.0,DMSO,0.1,4,DMSO_0.1_4,8.1
24,24.0,DMSO,0.1,5,DMSO_0.1_5,42.8
24,24.0,DMSO,0.1,6,DMSO_0.1_6,5.7
24,24.0,DMSO,0.3,1,DMSO_0.3_1,7.3
24,24.0,DMSO,0.3,2,DMSO_0.3_2,22.2
24,24.0,DMSO,0.3,4,DMSO_0.3_4,9.3
48,48.0,DACTI,0.002222222,1,DACTI_0.002222222_1,15.1
48,48.0,DACTI,0.002222222,2,DACTI_0.002222222_2,15.4
48,48.0,DACTI,0.006666667,2,DACTI_0.006666667_2,58.6
48,48.0,DACTI,0.006666667,3,DACTI_0.006666667_3,5.0
48,48.0,DACTI,0.006666667,4,DACTI_0.006666667_4,18.5
48,48.0,DACTI,0.02,2,DACTI_0.02_2,13.6
48,48.0,DACTI,0.02,3,DACTI_0.02_3,10.1
48,48.0,DACTI,0.02,4,DACTI_0.02_4,6.9
48,48.0,DACTI,0.06,1,DACTI_0.06_1,79.5
48,48.0,DACTI,0.06,2,DACTI_0.06_2,34.7
48,48.0,DACTI,0.06,3,DACTI_0.06_3,31.8
48,48.0,DACTI,0.06,4,DACTI_0.06_4,16.3
48,48.0,DACTI,0.18,1,DACTI_0.18_1,79.1
48,48.0,DACTI,0.18,2,DACTI_0.18_2,73.2
48,48.0,DACTI,0.18,3,DACTI_0.18_3,58.9
48,48.0,GEMCI,0.555555556,1,GEMCI_0.555555556_1,6.3
48,48.0,GEMCI,0.555555556,2,GEMCI_0.555555556_2,5.7
48,48.0,GEMCI,0.555555556,3,GEMCI_0.555555556_3,4.6
48,48.0,GEMCI,0.555555556,4,GEMCI_0.555555556_4,23.4
48,48.0,GEMCI,0.555555556,5,GEMCI_0.555555556_5,5.0
48,48.0,GEMCI,1.666666667,1,GEMCI_1.666666667_1,7.1
48,48.0,GEMCI,1.666666667,2,GEMCI_1.666666667_2,10.1
48,48.0,GEMCI,1.666666667,3,GEMCI_1.666666667_3,5.9
48,48.0,GEMCI,1.666666667,4,GEMCI_1.666666667_4,2.5
48,48.0,GEMCI,1.666666667,5,GEMCI_1.666666667_5,5.5
48,48.0,GEMCI,1.666666667,7,GEMCI_1.666666667_7,7.3
48,48.0,GEMCI,5.0,1,GEMCI_5.0_1,11.8
48,48.0,GEMCI,5.0,2,GEMCI_5.0_2,4.9
48,48.0,GEMCI,5.0,4,GEMCI_5.0_4,3.5
48,48.0,GEMCI,5.0,5,GEMCI_5.0_5,12.1
48,48.0,GEMCI,5.0,6,GEMCI_5.0_6,10.0
48,48.0,GEMCI,15.0,1,GEMCI_15.0_1,6.3
48,48.0,GEMCI,15.0,3,GEMCI_15.0_3,4.4
48,48.0,GEMCI,15.0,4,GEMCI_15.0_4,9.4
48,48.0,GEMCI,15.0,6,GEMCI_15.0_6,3.3
48,48.0,GEMCI,15.0,7,GEMCI_15.0_7,7.0
48,48.0,GEMCI,15.0,8,GEMCI_15.0_8,5.8
48,48.0,GEMCI,45.0,1,GEMCI_45.0_1,3.0
48,48.0,GEMCI,45.0,2,GEMCI_45.0_2,6.1
48,48.0,GEMCI,45.0,3,GEMCI_45.0_3,4.4
48,48.0,GEMCI,45.0,4,GEMCI_45.0_4,4.7
48,48.0,GEMCI,45.0,6,GEMCI_45.0_6,70.4
48,48.0,GEMCI,45.0,7,GEMCI_45.0_7,5.3
48,48.0,PLICA,0.001111111,1,PLICA_0.001111111_1,4.8
48,48.0,PLICA,0.001111111,2,PLICA_0.001111111_2,1.4
